"cmd","addr","end","rendercmd","jp","en","en",,
"String","0xE699","0xE69D","vwf standard","英雄が去っていった","A Hero has left.","A Hero has left.",,
,,,,"//=================================================",,,,
,,,,"// ?",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0xEF7E","0xEFB7",,,,,,
"String","0xEFB7","0xEFB9","vwf standard","レイモンドが呼んでいる","Raymond wants to talk.","Raymond wants to talk.",,
"String","0xEFB9","0xEFBD","vwf standard","レイモンドが帰還した","Raymond has returned.","Raymond has returned.",,
"String","0xEFBD","0xEFC0","vwf standard","彼は諦めた","He gave up.","He gave up.",,
"String","0xEFC0","0xEFC5","vwf standard","彼は旅に出た","He left on a journey.","He left on a journey.",,
"String","0xEFC5","0xEFCA","vwf standard","彼は英雄の一員となった","He has become a Hero.","He has become a Hero.",,
"String","0xEFCA","0xEFCF","vwf standard","レイモンドが死んだ","Raymond has died.","Raymond has died.",,
,,,,"//=================================================",,,,
,,,,"// Diplomacy menu",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x103F9","0x1044D",,,,,,
"String","0x1044D","0x10452","vwf standard","同盟　期間","Alliance[space7px]Time","Alliance  Time",,
"String","0x10452","0x10457","vwf standard","授助　要請","Assist[space8px][space7px]Request","Assist  Request",,
"String","0x10457","0x1045C","vwf standard","破棄　領地","Rescind[space8px]Territory","Rescind  Territory",,
"String","0x1045C","0x1045E","vwf standard","承諾する","Agree","Agree",,
"String","0x1045E","0x10462","vwf standard","拒否する","Refuse","Refuse",,
"String","0x10462","0x10466","vwf standard","　　LP","[space16px][space16px][space16px]LP","[number] LP",,
"String","0x10463","0x10466","vwf standard","　LP","[space16px][space16px]LP","[number] LP",,
"String","0x10466","0x1046A","vwf standard","承諾されました","Agreed.","Agreed",,
"String","0x1046A","0x1046E","vwf standard","拒否されました","Refused.","Refused",,
"String","0x1046E","0x10472","vwf standard","使者が来ました","An emissary has come.","An emissary has come.",,
"String","0x10472","0x1047B","vwf standard","本当に授助しますか？","Do you wish to assist?","Do you wish to assist?",,
"String","0x1047B","0x10480","vwf standard","授助しました","Assisted.","Assisted.",,
"String","0x10480","0x10489","vwf standard","本当に破棄しますか？","Rescind alliance?","Rescind alliance?",,
"String","0x10489","0x1048E","vwf standard","破棄しました","Rescinded.","Rescinded.",,
"String","0x1048E","0x10497","vwf standard","本当に獲得しますか？","Take territory?","Take territory?",,
"String","0x10497","0x1049F","vwf standard","領地　を獲得した","Territory[space16px][space16px]taken.","Territory [number] taken.","doesn't seem to be used? not referenced in code",
"String","0x1049F","0x104A5","vwf standard","使者が戻りました","The emissary has left.","The emissary has left.",,
"String","0x104A5","0x104AB","vwf standard","相手がいない","No partner.","No partner.",,
"String","0x104AB","0x104B2","vwf standard","LPがたりない","Not enough LP.","Not enough LP.",,
"String","0x104B2","0x104B9","vwf standard","中立の領地がない","No neutral territories.","No neutral territories.",,
"String","0x104B9","0x104C2","vwf standard","同盟を要請してきた","[space16px][space16px]requests an alliance","requesting an alliance.",,
"String","0x104C2","0x104CB","vwf standard","期間を要請してきた","[space16px]requests alliance time changed","requesting time.",,
"String","0x104CB","0x104D4","vwf standard","LPを授助してきた","[space16px]donated[space16px][space16px]LP.","donated LP.",,
"String","0x104D4","0x104DD","vwf standard","LPを要請してきた","[space16px]requested[space16px][space16px]LP.","requested LP.",,
"String","0x104DD","0x104E6","vwf standard","同盟を破棄してきた","[space16px][space16px]rescinds the alliance.","rescinding the alliance.",,
,,,,"//=================================================",,,,
,,,,"// Tactics menu: Strategy",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x112A2","0x112B8",,,,,,
"String","0x112B8","0x112BA","vwf standard","策略は使えません！","No available Scheme!","No available stratagem!",,
"String","0x112BA","0x112C2","vwf standard","使える策略がない！","No usable Scheme!","No usable stratagem!",,
,,,,"//=================================================",,,,
,,,,"// stratagem use messages (FOR POLICY PHASE)",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x112C2","0x11325",,,,,,
"String","0x1138E","0x11390","vwf standard","敵の策略だ！！","Enemy Scheme!","Enemy stratagem!","1138D -> 1138D",
"String","0x11390","0x11392","vwf standard","意味がない","Pointless.","Pointless.",,
"String","0x11392","0x11394","vwf standard","回復した","Recovered.","Recovered.",,
"String","0x11394","0x11398","vwf standard","暗殺に成功した","Assassination successful.","Assassination successful.",,
"String","0x11398","0x1139E","vwf standard","暗殺に失敗した","Assassination failed.","Assassination failed.",,
"String","0x1139E","0x113A7","vwf standard","英雄が暗殺された！","Hero assassinated!","Hero assassinated!",,
"String","0x113A7","0x113AD","vwf standard","離反に成功した","Defection successful.","Defection successful.",,
"String","0x113AD","0x113B4","vwf standard","離反に失敗した","Defection failed.","Defection failed.",,
"String","0x113B4","0x113BC","vwf standard","英雄が離反した！","Hero defected!","Hero defected!",,
"String","0x113BC","0x113C0","vwf standard","反乱を起こした","Caused revolt.","Caused revolt.",,
"String","0x113C0","0x113C7","vwf standard","反乱が起きた！","A revolt occurs!","A revolt is happening!",,
"String","0x113C7","0x113CE","vwf standard","LPを盗んだ！","You stole LP!","You stole LP!",,
"String","0x113CE","0x113D6","vwf standard","LPが盗まれた！","Your LP were stolen!","Your LP have been stolen!",,
"String","0x113D6","0x113DD","vwf standard","SPを盗んだ！","You stole SP!","You stole SP!",,
"String","0x113DD","0x113E5","vwf standard","SPが盗まれた！","Your SP were stolen!","Your SP have been stolen!",,
,"policy-exclusive events",,,,,,,
"String","0x113E5","0x113EC","vwf standard","同盟を締結した","Formed alliance.","Formed alliance.",,
"String","0x113EC","0x113F7","vwf standard","同盟を締結させられた！","Forced to form alliance!","Forced to form alliance!",,
"String","0x113F7","0x113FE","vwf standard","同盟を破棄した","Alliance broken.","Alliance broken.",,
"String","0x113FE","0x11407","vwf standard","同盟を破棄された！","Forced to break alliance!","Forced to break alliance!",,
"String","0x11407","0x1140E","vwf standard","大嵐を発生した","A raging storm brews.","A raging storm is happening.",,
"String","0x1140E","0x11412","vwf standard","呪縛した","You cursed them.","You cursed them.",,
"String","0x11412","0x11418","vwf standard","呪縛された！","You have been cursed!","You have been cursed!",,
"String","0x11418","0x1141F","vwf standard","領地を獲得した","Territory acquired.","Territory acquired.",,
"String","0x1141F","0x11429","vwf standard","策略を無効にされた！","Scheme nullified!","Stratagem nullified!",,
,,,,"//=================================================",,,,
,,,,"// stratagem use messages (FOR TACTICS PHASE)",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x11325","0x1138D",,,,,,
,"IMPORTANT: these messages are duplicates of part of the previous pack and share structure. they MUST be the same messages in same order and position.",,,,,,,
,"this is due to the policy and tactics phase having certain events that can be exclusively used in each phase; the game can't load all the messages for both to VRAM at once.",,,,,,,
"String","0x1138E",,"vwf standard","敵の策略だ！！","Enemy Scheme!","Enemy stratagem!","1138D -> 1138D",
"String","0x11390",,"vwf standard","意味がない","Pointless.","Pointless.",,
"String","0x11392",,"vwf standard","回復した","Recovered.","Recovered.",,
"String","0x11394",,"vwf standard","暗殺に成功した","Assassination successful.","Assassination successful.",,
"String","0x11398",,"vwf standard","暗殺に失敗した","Assassination failed.","Assassination failed.",,
"String","0x1139E",,"vwf standard","英雄が暗殺された！","Hero assassinated!","Hero assassinated!",,
"String","0x113A7",,"vwf standard","離反に成功した","Defection successful.","Defection successful.",,
"String","0x113AD",,"vwf standard","離反に失敗した","Defection failed.","Defection failed.",,
"String","0x113B4",,"vwf standard","英雄が離反した！","Hero defected!","Hero defected!",,
"String","0x113BC",,"vwf standard","反乱を起こした","Caused revolt.","Caused revolt.",,
"String","0x113C0",,"vwf standard","反乱が起きた！","A revolt occurs!","A revolt is happening!",,
"String","0x113C7",,"vwf standard","LPを盗んだ！","You stole LP!","You stole LP!",,
"String","0x113CE",,"vwf standard","LPが盗まれた！","Your LP were stolen!","Your LP have been stolen!",,
"String","0x113D6",,"vwf standard","SPを盗んだ！","You stole SP!","You stole SP!",,
"String","0x113DD",,"vwf standard","SPが盗まれた！","Your SP were stolen!","Your SP have been stolen!",,
,"non-duplicated material follows",,,,,,,
"String","0x11429","0x1142B","vwf standard","全部隊行動OK","All Squadrons Act[space3px]OK","All Squadrons Act OK",,
"String","0x1142B","0x1142F","vwf standard","移送した","Transferred.","Transferred",,
"String","0x1142F","0x11434","vwf standard","全エリア確認OK","All Areas Check[space3px]OK","All Areas Confirm OK",,
"String","0x11434","0x11438","vwf standard","奇襲OK","Surprise Attack[space3px]OK","Surprise Attack OK",,
"String","0x11438","0x1143F","vwf standard","領地を交換した","Swapped territories.","Swapped Territories",,
"String","0x1143F","0x11445","vwf standard","爆裂させた！","Initiated Explosive Attack!","Initiated Explosive Attack!",,
"String","0x11445","0x1144B","vwf standard","爆裂された！","Fell for [space1px]Explosive Attack!","Fell for Explosive Attack!",,
"String","0x1144B","0x1144F","vwf standard","召喚した","Summoned.","Summoned",,
,,,,"//=================================================",,,,
,,,,"// Information menu",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x1164C","0x11655",,,,,,
"String","0x11655","0x1165A","vwf standard","状況　領地","Status[space8px][space6px]Territory","Status  Territory",,
"String","0x1165A","0x1165F","vwf standard","勢力　地図","Balance[space8px]Map","Balance  Map",,
,,,,"//=================================================",,,,
,,,,"// In-game options menu",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x11FEA","0x1203F",,,,,,
"String","0x1203F","0x12044","vwf standard","保存　画面","Save[space16px][space8px][space4px]Screen","Save  Screen","Save  Screen",
"String","0x12044","0x12049","vwf standard","表示　その他","Display[space16px][space3px]Misc","Display  Misc","Disp  Other",
"String","0x12049","0x1204F","vwf standard","どこに保存しますか？","Save where?","Save where?","Save where?",
"String","0x1204F","0x12056","vwf standard","本当に保存しますか？","Are you sure?","Are you sure?","Really save?",
"String","0x12056","0x1205C","vwf standard","保存しました","Saved.","Saved.","Saved.",
"String","0x1205C","0x12060","vwf standard","中止します","Cancelled.","Interrupted.","Cancelling.",
"String","0x12060","0x12065","vwf standard","変更してください","Make your changes.","Make your changes.","Make a change.",
"String","0x12065","0x12069","vwf standard","表示速度","Display Speed","Display Speed","Msg Rate",
"String","0x12069","0x1206D","vwf standard","表示時間","Display Time","Display Time","Msg Time",
"String","0x1206D","0x12071","vwf standard","ペン速度","Cursor Speed","Cursor Speed","Pen Spd",
"String","0x12071","0x12076","vwf standard","戦術画面は","Tactical Screen:","Tactical Screen: ","Tactics",
"String","0x12076","0x1207B","vwf standard","戦闘画面は","Battle Screen:","Battle Screen: ","Battle",
"String","0x1207B","0x12080","vwf standard","敵の戦争を","Enemy Battles:","Watch Enemy Battles: ","Opp. Bat.",
"String","0x12080","0x12084","vwf standard","アニメを見","Animations: ","Animations: ","Cutscenes",
"String","0x12084","0x12088","vwf standard","簡易画面","Simple","Simple","Simple",
"String","0x12088","0x1208C","vwf standard","ヘクス画面","Hex","Hex","Hex",
"String","0x1208C","0x1208E","vwf standard","なし","None","None","Normal",
"String","0x1208E","0x12091","vwf standard","リアル","Real-time","Realistic","Real-Time",
"String","0x12091","0x12094","vwf standard","見ない","Don't watch","No","Don't Show",
"String","0x12094","0x12096","vwf standard","見る","Watch","Yes","Show",
"String","0x12096","0x12097","vwf standard","る","On","On","On",
"String","0x12097","0x12099","vwf standard","ない","Off","Off","Off",
"String","0x12099","0x1209E","vwf standard","政策を実行","Carry out Policy: ","Carry out Policy: ","Delegate",
"String","0x1209E","0x120A3","vwf standard","保存を自動","Automatic saving:","Save automatically: ","Autosave",
"String","0x120A3","0x120A8","vwf standard","訓練を自動","Automatic training:","Train automatically: ","Autotrain",
"String","0x120A8","0x120AA","vwf standard","する","On","Yes","On",
"String","0x120AA","0x120AD","vwf standard","しない","Off","No","Off",
"String","0x120AD","0x120B0","vwf standard","にする","On","Yes","On",
"String","0x120B0","0x120B4","vwf standard","にしない","Off","No","Off",
,,,,"//=============================================",,,,
,,,,"// Tactics menu: Move",,,,
,,,,"//=============================================",,,,
,,,,,,,,
"FontPack","0x1236E","0x123A9",,,,,,
"String","0x123A9","0x123AB","vwf standard","部隊がいません","No Squadrons.","No squadrons.",,
"String","0x123AB","0x123B0","vwf standard","全部隊行動済みです","All Squadrons have acted.","All squadrons have acted.",,
"String","0x123B0","0x123B7","vwf standard","移動可能なエリアがない","No available area to move to.","No available area to move to.",,
"String","0x123B7","0x123BF","vwf standard","移動元のエリアです","Already in that area.","Already in that area.",,
"String","0x123BF","0x123C8","vwf standard","すでに１２部隊います","There are already 12 Squadrons.","There are already 12 squadrons.",,
"String","0x123C8","0x123D1","vwf standard","大嵐で移動できない","Cannot move due to storm.","Cannot move due to storm.",,
"String","0x123D1","0x123DB","vwf standard pad 176","あと　部隊移動できます","[space4px][space1px]Can move[space2px][space16px][space6px]more squadrons.","Can move [number] more squadrons.",,
"String","0x123DB","0x123E3","vwf standard pad 176","これ以上移動できません","Cannot move any more.","Cannot move any more.",,
"String","0x123E3","0x123E8","vwf standard","部隊を決定して下さい","Select your Squadrons.","Select your squadrons.",,
"String","0x123E8","0x123F2","vwf standard","本当に移動しますか？","Are you sure?","Are you sure?",,
"String","0x123F2","0x123F8","vwf standard","移動しました","Moved.","Moved.",,
"String","0x123F8","0x12402","vwf standard","部隊が指定されていない","No assigned Squadrons.","No assigned squadrons.",,
,,,,,,,,
"String","0x123D2",,"vwf standard pad 176","あと　部隊移動できます","[space4px][space1px]Can move[space2px][space16px][space6px]more squadron.",,"NEW: singular message if only able to move one squadron",
,,,,"//=================================================",,,,
,,,,"// Tactics menu: Invade",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x12980","0x129C6",,,,,,
"String","0x129C6","0x129C9","vwf standard","部隊がいない","No Squadrons.","No squadrons.",,
"String","0x129C9","0x129CE","vwf standard","全部隊行動済みです","All Squadrons have acted.","All squadrons have acted.",,
"String","0x129CE","0x129D6","vwf standard","侵攻可能なエリアがない","No area to invade.","No area to invade.",,
"String","0x129D6","0x129DE","vwf standard","侵攻元のエリアです","Already invaded.","Already invading.",,
"String","0x129DE","0x129E7","vwf standard","大嵐で移動できない","Cannot move due to storm.","Cannot move due to storm.",,
"String","0x129E7","0x129EE","vwf standard","部隊が指定されていない","No assigned Squadrons.","No assigned squadrons.",,
"String","0x129EE","0x129F8","vwf standard","部隊を決定して下さい","Select your Squadrons.","Select your squadrons.",,
"String","0x129F8","0x12A01","vwf standard","本当に侵攻しますか？","Are you sure?","Are you sure?",,
"String","0x12A01","0x12A06","vwf standard","侵攻します","Invading.","Invading.",,
"String","0x12A06","0x12A0D","vwf standard","敵はいなかった","There were no enemies.","There were no enemies.",,
"String","0x12A0D","0x12A14","vwf standard","偵察していない","Not scouted.","Not scouted.",,
"String","0x12A14","0x12A1F","vwf standard","裏切って侵攻しますか？","Betray and invade?","Betray and invade?",,
"String","0x12A1F","0x12A25","vwf standard","同盟中ですが…","That is your ally...","That is your ally...",,
"String","0x12A25","0x12A28","vwf standard","　当し",,"[toushi]",,
,,,,"//=================================================",,,,
,,,,"// Invasion defense menu",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x13263","0x132C4",,,,,,
"String","0x132C4","0x132C9","vwf standard","戦争　退却","Fight[space16px][space4px]Retreat","Fight  Retreat",,
"String","0x132C9","0x132CE","vwf standard","降伏　策略","Yield[space4px][space16px]Scheme","Surrender  Stratagem",,
"String","0x132CE","0x132D0","vwf standard","敵が侵攻してきた！","The enemy is invading!","The enemy is invading!",,
"String","0x132D0","0x132D6","vwf standard","奇襲攻撃だ！","Ambushed!","Ambushed!",,
"String","0x132D6","0x132DC","vwf standard","策略を使われた！","Scheme used!","Stratagem used!",,
"String","0x132DC","0x132E4","vwf standard","地上部隊がやられた！","Ground Squadrons defeated!","Ground squadrons defeated!",,
"String","0x132E4","0x132EE","vwf standard","飛行部隊がやられた！","Flying Squadrons defeated!","Flying squadrons defeated!",,
"String","0x132EE","0x132F5","vwf standard","炎でダメージを受けた！","Fire damage received!","Fire damage received!",,
"String","0x132F5","0x132FD","vwf standard","強制退却された！","Forced to retreat!","Forced to retreat!",,
"String","0x132FD","0x13307","vwf standard","侵攻部隊が全滅した！","Invading Squadrons annihilated!","Invading squadrons annihilated!",,
"String","0x13307","0x1330F","vwf standard","地上部隊を攻撃した！","Ground Squadrons attacked!","Ground squadrons attacked!",,
"String","0x1330F","0x13319","vwf standard","飛行部隊を攻撃した！","Flying Squadrons attacked!","Flying squadrons attacked!",,
"String","0x13319","0x13320","vwf standard","炎でダメージを与えた！","Fire damage inflicted!","Fire damage inflicted!",,
"String","0x13320","0x13328","vwf standard","全軍退却させた！","The army has retreated!","The army has retreated!",,
"String","0x13328","0x13333","vwf standard","全部隊退却できません！","Cannot retreat all Squadrons!","Cannot retreat all squadrons!",,
"String","0x13333","0x13338","vwf standard","退却します","Retreated.","Retreated.",,
"String","0x13338","0x1333E","vwf standard","敵は退却した","The enemy retreated.","The enemy retreated.",,
"String","0x1333E","0x13346","vwf standard","降伏できません！","Cannot yield!","Cannot surrender!",,
"String","0x13346","0x1334B","vwf standard","降伏します","Yielded.","Surrendered.",,
"String","0x1334B","0x13351","vwf standard","敵は降伏した","The enemy yielded.","The enemy surrendered.",,
"String","0x13351","0x13356","vwf standard","支配下にします","Under control.","Under control.",,
"String","0x13356","0x1335F","vwf standard","策略は使えません！","Cannot use Scheme!","Cannot use stratagem!",,
"String","0x1335F","0x13368","vwf standard","使える策略がない！","No Schemes to use!","No stratagems to use!",,
"String","0x13368","0x1336E","vwf standard","意味がない！","Pointless!","Pointless!",,
,,,,"//=================================================",,,,
,,,,"// Tactics menu: Scout",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x137E0","0x1381D",,,,,,
"String","0x1381D","0x13820","vwf standard","部隊がいない","No Squadrons.","No squadrons.",,
"String","0x13820","0x13825","vwf standard","全部隊行動済みです","All Squadrons have acted.","All squadrons have acted.",,
"String","0x13825","0x1382D","vwf standard","偵察するエリアがない","No Area to scout.","No Area to scout.",,
"String","0x1382D","0x13835","vwf standard","偵察元のエリアです","Already scouted.","Already scouted.",,
"String","0x13835","0x1383E","vwf standard","大嵐で偵察できない","Cannot scout during storm.","Cannot scout during storm.",,
"String","0x1383E","0x13843","vwf standard","部隊を決定して下さい","Select your Squadrons.","Select your squadrons.",,
"String","0x13843","0x1384D","vwf standard","部隊が指定されていない","No assigned Squadrons.","No assigned squadrons.",,
"String","0x1384D","0x13856","vwf standard","本当に偵察しますか？","Are you sure?","Are you sure?",,
"String","0x13856","0x13860","vwf standard","偵察部隊が襲撃された！","Scouts ambushed!","Scouts have been ambushed!",,
"String","0x13860","0x13869","vwf standard","偵察部隊が全滅した！","Scouts annihilated!","Scouts have been annihilated!",,
"String","0x13869","0x1386F","vwf standard","帰還しました","Returned.","Returned.",,
"String","0x1386F","0x13877","vwf standard","マスターが殺された！","Master has been killed!","Master has been killed!",,
,,,,"//=================================================",,,,
,,,,"// Tactics menu: Muster troops",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x13C5E","0x13C89",,,,,,
"String","0x13C89","0x13C8B","vwf standard","どれに召集させますか？","Who will muster?","Muster where?",,
"String","0x13C8B","0x13C8E","vwf standard","部隊がいない","No Squadrons.","No squadrons.",,
"String","0x13C8E","0x13C96","vwf standard","召集できる部隊がない","No musterable Squadrons.","No squadron to muster.",,
"String","0x13C96","0x13CA0","vwf standard","すでに１２部隊います","There are already 12 Squadrons.","There are already 12 squadrons",,
"String","0x13CA0","0x13CA8","vwf standard","どれを召集しますか？","Muster which?","Muster who?",,
"String","0x13CA8","0x13CB0","vwf standard","LPがたりない！","Not enough LP!","Not enough LP!",,
"String","0x13CB0","0x13CB9","vwf standard","同種の部隊ではない！","Not a Squadron of same type!","No squadron of same type!",,
"String","0x13CB9","0x13CC4","vwf standard","これ以上召集できない！","Cannot muster any more!","Cannot muster any more!",,
"String","0x13CC4","0x13CCB","vwf standard","本当に召集しますか？","Are you sure?","Are you sure?",,
"String","0x13CCB","0x13CD1","vwf standard","召集しました","Mustered.","Mustered.",,
"String","0x13CD1","0x13CDB","vwf standard","部隊が指定されていない","No assigned Squadrons.","No assigned squadrons.",,
"String","0x13CDB","0x13CE0","vwf standard","LPがない","No LP.","No LP.",,
,,,,"//=================================================",,,,
,,,,"// Tactics menu: Summon",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x141B2","0x141DF",,,,,,
"String","0x141DF","0x141E1","vwf standard","どれに召喚させますか？","Who will summon?","Summon where?",,
"String","0x141E1","0x141E4","vwf standard","部隊がいない","No Squadrons.","No squadrons.",,
"String","0x141E4","0x141EC","vwf standard","召喚できる部隊がない","No summonable Squadrons.","No squadron to summon.",,
"String","0x141EC","0x141F6","vwf standard","すでに１２部隊います","There are already 12 Squadrons.","There are already 12 squadrons.",,
"String","0x141F6","0x141FE","vwf standard","どれを召喚しますか？","Summon which?","Summon who?",,
"String","0x141FE","0x14206","vwf standard","SPがたりない！","Not enough SP!","Not enough SP!",,
"String","0x14206","0x1420C","vwf standard","意味がない！","Pointless!","Pointless!",,
"String","0x1420C","0x14215","vwf standard","同種の部隊ではない！","Not a Squadron of same type!","No squadron of same type!",,
"String","0x14215","0x1421F","vwf standard","これ以上召喚できない","Cannot summon any more.","Cannot summon any more.",,
"String","0x1421F","0x14226","vwf standard","本当に召喚しますか？","Are you sure?","Are you sure?",,
"String","0x14226","0x1422C","vwf standard","召喚しました","Summoned.","Summoned.",,
"String","0x1422C","0x14236","vwf standard","部隊が指定されていない","No assigned Squadrons.","No assigned squadrons.",,
"String","0x14236","0x1423C","vwf standard","SPがない！","No SP!","No SP!",,
,,,,"//=================================================",,,,
,,,,"// Tactics menu: Search",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x144D6","0x14513",,,,,,
"String","0x14513","0x14515","vwf standard","どれに探索させますか？","Who will search?","Who are you looking for?",,
"String","0x14515","0x14518","vwf standard","部隊がいない","No Squadrons.","No squadrons.",,
"String","0x14518","0x14520","vwf standard","探索できる部隊がない","No searchable Squadrons.","No searchable squadrons.",,
"String","0x14520","0x1452A","vwf standard","部隊が指定されていない","No assigned Squadrons.","No assigned squadrons.",,
"String","0x1452A","0x14531","vwf standard","これ以上意味がない","This is the limit.","Cannot do any further.",,
"String","0x14531","0x14536","vwf standard","探索しますか？","Search?","Search?",,
"String","0x14536","0x1453D","vwf standard","英雄はいなかった","No Heroes found.","No Heroes found.",,
"String","0x1453D","0x14544","vwf standard","英雄を発見した！","Hero found!","A Hero has been found!",,
"String","0x14544","0x14548","vwf standard","雇いますか？","Hire?","Hire?",,
"String","0x14548","0x14550","vwf standard","LPがたりない！","Not enough LP!","Not enough LP!",,
"String","0x14550","0x14558","vwf standard","性格が合わない！","Alignment does not match!","Disposition does not match!",,
"String","0x14558","0x14561","vwf standard","これ以上雇えない！","Cannot hire any more!","Cannot hire any more!",,
"String","0x14561","0x14566","vwf standard","雇いました","Hired.","Hired.",,
"String","0x14566","0x1456B","vwf standard","やめました","Not hired.","Not hired.",,
"String","0x1456B","0x14571","vwf standard","拒否された！","Refused!","Refused!",,
,,,,"//=================================================",,,,
,,,,"// Tactics menu: Heroes",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x149CC","0x149F9",,,,,,
"String","0x149F9","0x149FE","vwf standard","状況　解雇","Status[space8px][space6px]Discharge","Status  Discharge",,
"String","0x149FE","0x14A03","vwf standard","就任　解任","Appoint[space8px][space2px]Dismiss","Appoint  Dismiss",,
"String","0x14A03","0x14A07","vwf standard","英雄がいない！","No Heroes!","No Heroes!",,
"String","0x14A07","0x14A0D","vwf standard","マスターがいない！","No Master!","No Master!",,
"String","0x14A0D","0x14A13","vwf standard","誰を解雇しますか？","Discharge who?","Discharge who?",,
"String","0x14A13","0x14A19","vwf standard","本当に解雇しますか？","Are you sure?","Are you sure?",,
"String","0x14A19","0x14A1F","vwf standard","解雇しました","Discharged.","Discharged.",,
"String","0x14A1F","0x14A27","vwf standard","就任できる部隊がない！","No Squadron to appoint to!","No squad to appoint to!",,
"String","0x14A27","0x14A2F","vwf standard","誰を就任させますか？","Appoint who?","Appoint who?",,
"String","0x14A2F","0x14A36","vwf standard","どの部隊ですか？","Which Squadron?","Which squad?",,
"String","0x14A36","0x14A3C","vwf standard","就任しました","Appointed.","Appointed.",,
"String","0x14A3C","0x14A43","vwf standard","就任できる英雄がいない","No Heroes to appoint.","No Heroes to appoint.",,
"String","0x14A43","0x14A4B","vwf standard","英雄がいる部隊がない！","No Squadron with a Hero!","No squad with a Hero!",,
"String","0x14A4B","0x14A54","vwf standard","英雄の部隊が行動済み！","Hero's Squadron has already acted!","Hero's squad has already acted!",,
"String","0x14A54","0x14A5D","vwf standard","どの英雄を解任しますか","Dismiss which Hero?","Dismiss which Hero?",,
"String","0x14A5D","0x14A63","vwf standard","解任しました","Dismissed.","Dismissed.",,
"String","0x14A63","0x14A6D","vwf standard","英雄が全て就任済み！！","All Heroes appointed!","All Heroes appointed!",,
,,,,"//=================================================",,,,
,,,,"// Tactics menu: Training",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x14BCE","0x14BEC",,,,,,
"String","0x14BEC","0x14BEF","vwf standard","部隊がいない","No Squadrons.","No squadrons.",,
"String","0x14BEF","0x14BF5","vwf standard","訓練できる部隊がない","No trainable Squadrons.","No trainable squadrons.",,
"String","0x14BF5","0x14BFA","vwf standard","部隊を決定して下さい","Select your Squadrons.","Select your squadrons.",,
"String","0x14BFA","0x14C04","vwf standard","部隊が指定されていない","No assigned Squadrons.","No assigned squadrons.",,
"String","0x14C04","0x14C0B","vwf standard","本当に訓練しますか？","Are you sure?","Are you sure?",,
"String","0x14C0B","0x14C11","vwf standard","訓練しました","Trained.","Trained.",,
,,,,"//=================================================",,,,
,,,,"// Tactics menu: Rest",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x14D38","0x14D5A",,,,,,
"String","0x14D5A","0x14D5D","vwf standard","部隊がいない","No Squadrons.","No squadrons.",,
"String","0x14D5D","0x14D62","vwf standard","全部隊行動済みです","All Squadrons have acted.","All squadrons have acted.",,
"String","0x14D62","0x14D69","vwf standard","休養する部隊がいない","No Squadron can rest now.","No squadron can rest now.",,
"String","0x14D69","0x14D6E","vwf standard","部隊を決定して下さい","Select your Squadrons.","Select your squadrons.",,
"String","0x14D6E","0x14D78","vwf standard","部隊が指定されていない","No assigned Squadrons.","No assigned squadrons.",,
"String","0x14D78","0x14D81","vwf standard","本当に休養しますか？","Are you sure?","Are you sure?",,
"String","0x14D81","0x14D87","vwf standard","休養しました","Rested.","Rested.",,
,,,,"//=================================================",,,,
,,,,"// Policy/Tactics menu: Delegate authority",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x14F34","0x14F77",,,,,,
"String","0x14F77","0x14F7B","vwf standard","マスターがいない！","No Master!","No Master!",,
"String","0x14F7B","0x14F80","vwf standard","委任できるエリアがない","No area to delegate.","No area to delegate.",,
"String","0x14F80","0x14F85","vwf standard","委任　維持","Delegate[space5px]Maintain","Delegate  Maintain",,
"String","0x14F85","0x14F8A","vwf standard","軍備　軍事","Arms[space16px][space3px]Military","Arms  Military",,
"String","0x14F8A","0x14F8F","vwf standard","探索　指揮","Search[space8px][space3px]Command","Search  Command",,
"String","0x14F8F","0x14F97","vwf standard","ここを指揮します　","Commanding this area.","Commanding this area.",,
"String","0x14F97","0x14F9F","vwf standard","ここを委任します　","[space1px]Delegating this area.","Delegating this area.",,
"String","0x14F9F","0x14FA7","vwf standard","ここを維持します　","Maintaining this area.","Maintaining this area.",,
