"cmd","addr","end","rendercmd","jp","en",,,
"String","0x3E1B0","0x3E1B6","default","ハナリリム","[up]HANNA-[br]  LILIM","Hannalilim",,"Hannalilim"
"String","0x3E1C0","0x3E1C4","default","チスケ","CHISUKE","Chisuke",,"Chisuke"
"String","0x3E1D0","0x3E1D5","default","イギナベ","IGINABE","Iginabe",,"Iginabe"
"String","0x3E1E0","0x3E1E7","default","ムーミンクラ","[up]MOO-[br]MINCLA","Moumincla",,"Moomincla"
"String","0x3E1F0","0x3E1F5","default","ダイアナ","DIANA","Diana",,"Diana"
"String","0x3E200","0x3E206","default","イースリー","EATHLEY","Eathley",,"Eathley"
"String","0x3E210","0x3E217","default","ハインリッヒ","[up]HEIN-[br]  RICH","Heinrich",,"Heinrich"
"String","0x3E220","0x3E225","default","リューク","LUKE","Luke",,"Luke"
"String","0x3E230","0x3E236","default","キイチロー","[up]KI-[br]ICHIRO","Kiichiro",,"Kiichiro"
"String","0x3E240","0x3E243","default","ボン","BONN","Bonn",,"Bonn"
"String","0x3E250","0x3E255","default","サブチン","SABUTIN","Sabutin",,"Sabutin"
"String","0x3E260","0x3E264","default","ヒルト","HIRTH","Hirth",,"Hirth"
"String","0x3E270","0x3E274","default","ケンチ","KENTY","Kenty",,"Kenty"
"String","0x3E280","0x3E285","default","パパゾウ","PAPAZO","Papazo",,"Papazo"
"String","0x3E290","0x3E295","default","ハムスタ","[up]HAMU-[br]  SUTA","Hamusuta",,"Hamusuta"
"String","0x3E2A0","0x3E2A6","default","フェアリス","FARIS","Faris",,"Faris"
"String","0x3E2B0","0x3E2B6","default","ニステール","NISTALE","Nistale",,"Nistale"
"String","0x3E2C0","0x3E2C6","default","ケイキダー","[up]KAIKI-[br]  DDER","Kaikidder",,"Kaikidder"
"String","0x3E2D0","0x3E2D7","default","ナン=ヤマト","[up]NAN[br] YAMATO","Nan Yamato",,"Nan Yamato"
"String","0x3E2E0","0x3E2E7","default","ブライアーム","BLEIARM","Bleiarm",,"Bleiarm"
"String","0x3E2F0","0x3E2F5","default","ヨネサン","[up]JONA-[br]  THAN","Jonathan",,"Jonathan"
"String","0x3E300","0x3E306","default","リュンター","LEUNTOR","Leuntor",,"Leuntor"
"String","0x3E310","0x3E317","default","オギアッシー","OGIAXY","Ogiaxy",,"Ogiaxy"
"String","0x3E320","0x3E327","default","サー=サキン","[up]SIR[br]SAQUIN","Sir Saquin",,"Sir Saquin"
"String","0x3E330","0x3E337","default","タテカンタツ","[up]TATE-[br]KANTAZ","Tatekantaz",,"Tatekantaz"
"String","0x3E340","0x3E347","default","サージ・ブー","[up]SERGE[br]  BOU","Serge Bou",,"Serge Bou"
"String","0x3E350","0x3E356","default","アルジュナ","ARJUNA","Arjuna",,"Arjuna"
"String","0x3E360","0x3E366","default","ラルフォン","RALPHON","Ralphon",,"Ralphon"
"String","0x3E370","0x3E376","default","フュージー","FUSIE","Fusie",,"Fusie"
"String","0x3E380","0x3E387","default","エル=フォス","[up]ELL[br]  PHOS","Ell Phos",,"Ell Phos"
"String","0x3E390","0x3E394","default","ヨーマ","YOMA","Yoma",,"Yoma"
"String","0x3E3A0","0x3E3A6","default","フェザーン","FEZZAN","Fezzan",,"Fezzan"
"String","0x3E3B0","0x3E3B5","default","イェード","GERD","Gerd",,"Gerd"
"String","0x3E3C0","0x3E3C7","default","ナイアラート","NYARLAT","Nyarlat",,"Nyarlat"
"String","0x3E3D0","0x3E3D5","default","アレック","ALEC","Alec",,"Alec"
"String","0x3E3E0","0x3E3E5","default","ライカス","RYCUS","Rycus",,"Rycus"
"String","0x3E3F0","0x3E3F5","default","アゾート","AZOTH","Azoth",,"Azoth"
"String","0x3E400","0x3E407","default","ミーア=マス","[up]MEER[br]  MASS","Meer Mass",,"Meer Mass"
"String","0x3E410","0x3E416","default","フラウォン","FRAWON","Frawon",,"Frawon"
"String","0x3E420","0x3E427","default","キュベリオス","[up]CYBE-[br]  LIOS","Cybelios",,"Cybelios"
"String","0x3E430","0x3E434","default","ランツ","LANTZ","Lantz",,"Lantz"
"String","0x3E440","0x3E446","default","ギルバード","GILBERT","Gilbert",,"Gilbert"
"String","0x3E450","0x3E456","default","カイザード","KAIZAD","Kaizad",,"Kaizad"
"String","0x3E460","0x3E466","default","レイモンド","RAYMOND","Raymond","[raymond_0][raymond_1][raymond_2][raymond_3][raymond_4][raymond_5]","Raymond"
,,,,"//=================================================",,,,
,,,,"// Battle: spell list",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x222FB","0x22307","default"," ふつうのこうげき  ","[up] NORMAL[br]   ATTACK","Normal Attack",,"Normal Attack"
"String","0x22307","0x22313","default"," パワーアップ---1"," POWER UP-1","Power Up ---1",,"Power Up ---1"
"String","0x22313","0x2231F","default"," よろいをまとう--1"," ARMOR UP-1","Wear Armor --1",,"Wear Armor --1"
"String","0x2231F","0x2232B","default"," かいふくする---1"," RECOVER--1","Recover ---1",,"Recover ---1"
"String","0x2232B","0x22337","default"," バリアをはる/0-1"," SHIELD/0-1","Cast Barrier /0-1",,"Cast Barrier /0-1"
"String","0x22337","0x22343","default"," スピードアップ--1"," SPEED UP-1","Speed Up --1",,"Speed Up --1"
"String","0x22343","0x2234F","default"," かえんぼうぎょ--1"," FIRE DEF-1","Fire Defense --1",,"Fire Defense --1"
"String","0x2234F","0x2235B","default"," むてきになる---1"," INVINC.--1","Become Invincible ---1",,"Become Invincible ---1"
"String","0x2235C","0x22368","default","*まほうのこうげき-1","[up]*MAGIC[blank][br]   ATTACK-1","*Magic Attack -1",,"*Magic Attack -1"
,,,,"//=================================================",,,,
,,,,"// Unit names",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x2D0B6","0x2D0BC","default","ちゅうりつ","NEUTRAL","Neutral","Neutral","N"
"String","0x2D0BC","0x2D0C0","smallname","ジーク","Sieg","Sieg","Sieg","Sieg"
"String","0x2D0C0","0x2D0C6","smallname","バストラル","Vastral","Vastral","V[vastral_1][vastral_2][vastral_3][vastral_4][vastral_5]","Vastral"
"String","0x2D0C6","0x2D0CC","smallname","シェルファ","Shelpha","Shelpha","S[shelpha_1][shelpha_2][shelpha_3][shelpha_4][shelpha_5]","Shelpha"
"String","0x2D0CC","0x2D0D2","smallname","エル=モア","Ell Moir","Ell Moir","E[ll] M[ellmoir_4][ellmoir_5]","Ell Moir"
"String","0x2D0D2","0x2D0D7","smallname","ガイラム","Gailum","Gailum","Ga[il]um","Gailum"
"String","0x2D0D7","0x2D0DE","smallname","ベルフレイム","Velfraim","Velfraim","V[elfraim_1][elfraim_2][elfraim_3][elfraim_4]m","Velfraim"
"String","0x2D0DE","0x2D0E3","smallname","クリムト","Klimt","Klimt","Klimt","Klimt"
"String","0x2D0E3","0x2D0E8","smallname","バルマー","Balmer","Balmer","Balmer","Balmer"
"String","0x2D0E8","0x2D0EF","smallname","エル=ウィン","Ell Wynn","Ell Wyn","E[ll] Wyn","Ell Wyn"
"String","0x2D0EF","0x2D0F3","smallname","せんし","Warrior","Warrior","Warrior","Warrior"
"String","0x2D0F3","0x2D0F6","smallname","きし","Knight","Knight","Knight","Knight"
"String","0x2D0F6","0x2D0FB","smallname","くろきし","BlackKnight","Black Knight","Black Knight","BlackKnight"
"String","0x2D0FB","0x2D101","smallname","せいせんし","Holy Warrior","Holy Warrior","Holy Warrior","Holy Warrior"
"String","0x2D101","0x2D108","smallname","バーバリアン","Barbarian","Barbarian","Barbarian","Barbarian"
"String","0x2D108","0x2D10F","smallname","バーサーカー","Berserker","Berserker","Berserker","Berserker"
"String","0x2D10F","0x2D116","smallname","まほうつかい","Magician","Magician","Magician","Magician"
"String","0x2D116","0x2D11B","smallname","まどうし","Sorcerer","Sorcerer","Sorcerer","Sorcerer"
"String","0x2D11B","0x2D121","smallname","まじゅつし","Wizard","Wizard","Wizard","Wizard"
"String","0x2D121","0x2D125","smallname","エルフ","Elf","Elf","Elf","Elf"
"String","0x2D125","0x2D12C","smallname","エルフロード","Elf Lord","Elf Lord","Elf Lord","Elf Lord"
"String","0x2D12C","0x2D131","smallname","ゴブリン","Goblin","Goblin","Goblin","Goblin"
"String","0x2D131","0x2D138","smallname","ミノタウルス","Minotaur","Minotaur","Minotaur","Minotaur"
"String","0x2D138","0x2D13F","smallname","ジャイアント","Giant","Giant","Giant","Giant"
"String","0x2D13F","0x2D146","smallname","リザードマン","Lizardman","Lizardman","Lizardman","Lizardman"
"String","0x2D146","0x2D14C","smallname","バシリスク","Basilisk","Basilisk","Basilisk","Basilisk"
"String","0x2D14C","0x2D151","smallname","ドラゴン","Dragon","Dragon","Dragon","Dragon"
"String","0x2D151","0x2D156","smallname","こあくま","Imp","Imp","Imp","Imp"
"String","0x2D156","0x2D15C","smallname","おおあくま","Archdemon","Archdemon","Archdemon","Archdemon"
"String","0x2D15C","0x2D163","smallname","デビルロード","Devil Lord","Devil Lord","Devil Lord","Devil Lord"
"String","0x2D163","0x2D16A","smallname","ケンタウルス","Centaur","Centaur","Centaur","Centaur"
"String","0x2D16A","0x2D170","smallname","ユニコーン","Unicorn","Unicorn","Unicorn","Unicorn"
"String","0x2D170","0x2D177","smallname","マンティコア","Manticore","Manticore","Manticore","Manticore"
"String","0x2D177","0x2D17D","smallname","サーペント","Serpent","Serpent","Serpent","Serpent"
"String","0x2D17D","0x2D184","smallname","スフインクス","Sphinx","Sphinx","Sphinx","Sphinx"
"String","0x2D184","0x2D18B","smallname","フェニックス","Phoenix","Phoenix","Phoenix","Phoenix"
"String","0x2D18B","0x2D191","smallname","ガーゴイル","Gargoyle","Gargoyle","Gargoyle","Gargoyle"
"String","0x2D191","0x2D196","smallname","ゴーレム","Golem","Golem","Golem","Golem"
"String","0x2D196","0x2D19A","smallname","タロス","Talos","Talos","Talos","Talos"
"String","0x2D19A","0x2D19E","smallname","オーガ","Ogre","Ogre","Ogre","Ogre"
"String","0x2D19E","0x2D1A3","smallname","トロウル","Troll","Troll","Troll","Troll"
"String","0x2D1A3","0x2D1A9","smallname","ワイバーン","Wyvern","Wyvern","Wyvern","Wyvern"
"String","0x2D1A9","0x2D1AE","smallname","ヒュドラ","Hydra","Hydra","Hydra","Hydra"
"String","0x2D1AE","0x2D1B4","smallname","グリフォン","Griffon","Griffon","Griffon","Griffon"
"String","0x2D1B4","0x2D1BB","smallname","サイクロプス","Cyclops","Cyclops","Cyclops","Cyclops"
"String","0x2D1BB","0x2D1C2","smallname","ヘルハウンド","Hell Hound","Hell Hound","Hell Hound","Hell Hound"
"String","0x2D1C2","0x2D1C9","smallname","サラマンダー","Salamander","Salamander","Salamander","Salamander"
"String","0x2D1C9","0x2D1CE","smallname","キマイラ","Chimera","Chimera","Chimera","Chimera"
"String","0x2D1CE","0x2D1D4","smallname","スケルトン","Skeleton","Skeleton","Skeleton","Skeleton"
"String","0x2D1D4","0x2D1D9","smallname","ゾンビー","Zombie","Zombie","Zombie","Zombie"
"String","0x2D1D9","0x2D1DD","smallname","マミー","Mummy","Mummy","Mummy","Mummy"
"String","0x2D1DD","0x2D1E3","smallname","バンパイア","Vampire","Vampire","Vampire","Vampire"
"String","0x2D1E3","0x2D1E8","smallname","リッチー","Lich","Lich","Lich","Lich"
"String","0x2D1E8","0x2D1EC","smallname","ロック","Roc","Roc","Roc","Roc"
"String","0x2D1EC","0x2D1F3","smallname","ガーディアン","Guardian","Guardian","Guardian","Guardian"
"String","0x2D1F3","0x2D1FA","smallname","だいちのせい","Earth Spirit","Spirit of Earth","Spirit of Earth","Earth Spirit"
"String","0x2D1FA","0x2D200","smallname","みずのせい","Water Spirit","Spirit of Water","Spirit of Water","Water Spirit"
"String","0x2D200","0x2D207","smallname","ほのおのせい","Flame Spirit","Spirit of Flame","Spirit of Flame","Flame Spirit"
"String","0x2D207","0x2D20D","smallname","かぜのせい","Wind Spirit","Spirit of Wind","Spirit of Wind","Wind Spirit"
,,,,"//=================================================",,,,
,,,,"// NEW: unit names in normal font, for advisor messages",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x2D0B7","0x2D0BC","default","ちゅうりつ","NEUTRAL","Neutral","0x2D0B8",
"String","0x2D0BD","0x2D0C0","default","ジーク","SIEG","Sieg","0x2D0BE",
"String","0x2D0C1","0x2D0C6","default","バストラル","VASTRAL","Vastral","0x2D0C2",
"String","0x2D0C7","0x2D0CC","default","シェルファ","SHELPHA","Shelpha","0x2D0C8",
"String","0x2D0CD","0x2D0D2","default","エル=モア","ELL MOIR","Ell Moir","0x2D0CE",
"String","0x2D0D3","0x2D0D7","default","ガイラム","GAILUM","Gailum","0x2D0D4",
"String","0x2D0D8","0x2D0DE","default","ベルフレイム","VELFRAIM","Velfraim","0x2D0D9",
"String","0x2D0DF","0x2D0E3","default","クリムト","KLIMT","Klimt","0x2D0E0",
"String","0x2D0E4","0x2D0E8","default","バルマー","BALMER","Balmer","0x2D0E5",
"String","0x2D0E9","0x2D0EF","default","エル=ウィン","ELL WYNN","Ell Wyn","0x2D0EA",
"String","0x2D0F0","0x2D0F3","default","せんし","WARRIOR","Warrior","0x2D0F1",
"String","0x2D0F4","0x2D0F6","default","きし","KNIGHT","Knight","0x2D0F5",
"String","0x2D0F7","0x2D0FB","default","くろきし","BLACK KNIGHT","Black Knight","0x2D0F8",
"String","0x2D0FC","0x2D101","default","せいせんし","HOLY WARRIOR","Holy Warrior","0x2D0FD",
"String","0x2D102","0x2D108","default","バーバリアン","BARBARIAN","Barbarian","0x2D103",
"String","0x2D109","0x2D10F","default","バーサーカー","BERSERKER","Berserker","0x2D10A",
"String","0x2D110","0x2D116","default","まほうつかい","MAGICIAN","Magician","0x2D111",
"String","0x2D117","0x2D11B","default","まどうし","SORCERER","Sorcerer","0x2D118",
"String","0x2D11C","0x2D121","default","まじゅつし","WIZARD","Wizard","0x2D11D",
"String","0x2D122","0x2D125","default","エルフ","ELF","Elf","0x2D123",
"String","0x2D126","0x2D12C","default","エルフロード","ELF LORD","Elf Lord","0x2D127",
"String","0x2D12D","0x2D131","default","ゴブリン","GOBLIN","Goblin","0x2D12E",
"String","0x2D132","0x2D138","default","ミノタウルス","MINOTAUR","Minotaur","0x2D133",
"String","0x2D139","0x2D13F","default","ジャイアント","GIANT","Giant","0x2D13A",
"String","0x2D140","0x2D146","default","リザードマン","LIZARDMAN","Lizardman","0x2D141",
"String","0x2D147","0x2D14C","default","バシリスク","BASILISK","Basilisk","0x2D148",
"String","0x2D14D","0x2D151","default","ドラゴン","DRAGON","Dragon","0x2D14E",
"String","0x2D152","0x2D156","default","こあくま","IMP","Imp","0x2D153",
"String","0x2D157","0x2D15C","default","おおあくま","ARCHDEMON","Archdemon","0x2D158",
"String","0x2D15D","0x2D163","default","デビルロード","DEVIL LORD","Devil Lord","0x2D15E",
"String","0x2D164","0x2D16A","default","ケンタウルス","CENTAUR","Centaur","0x2D165",
"String","0x2D16B","0x2D170","default","ユニコーン","UNICORN","Unicorn","0x2D16C",
"String","0x2D171","0x2D177","default","マンティコア","MANTICORE","Manticore","0x2D172",
"String","0x2D178","0x2D17D","default","サーペント","SERPENT","Serpent","0x2D179",
"String","0x2D17E","0x2D184","default","スフインクス","SPHINX","Sphinx","0x2D17F",
"String","0x2D185","0x2D18B","default","フェニックス","PHOENIX","Phoenix","0x2D186",
"String","0x2D18C","0x2D191","default","ガーゴイル","GARGOYLE","Gargoyle","0x2D18D",
"String","0x2D192","0x2D196","default","ゴーレム","GOLEM","Golem","0x2D193",
"String","0x2D197","0x2D19A","default","タロス","TALOS","Talos","0x2D198",
"String","0x2D19B","0x2D19E","default","オーガ","OGRE","Ogre","0x2D19C",
"String","0x2D19F","0x2D1A3","default","トロウル","TROLL","Troll","0x2D1A0",
"String","0x2D1A4","0x2D1A9","default","ワイバーン","WYVERN","Wyvern","0x2D1A5",
"String","0x2D1AA","0x2D1AE","default","ヒュドラ","HYDRA","Hydra","0x2D1AB",
"String","0x2D1AF","0x2D1B4","default","グリフォン","GRIFFON","Griffon","0x2D1B0",
"String","0x2D1B5","0x2D1BB","default","サイクロプス","CYCLOPS","Cyclops","0x2D1B6",
"String","0x2D1BC","0x2D1C2","default","ヘルハウンド","HELL HOUND","Hell Hound","0x2D1BD",
"String","0x2D1C3","0x2D1C9","default","サラマンダー","SALAMANDER","Salamander","0x2D1C4",
"String","0x2D1CA","0x2D1CE","default","キマイラ","CHIMERA","Chimera","0x2D1CB",
"String","0x2D1CF","0x2D1D4","default","スケルトン","SKELETON","Skeleton","0x2D1D0",
"String","0x2D1D5","0x2D1D9","default","ゾンビー","ZOMBIE","Zombie","0x2D1D6",
"String","0x2D1DA","0x2D1DD","default","マミー","MUMMY","Mummy","0x2D1DB",
"String","0x2D1DE","0x2D1E3","default","バンパイア","VAMPIRE","Vampire","0x2D1DF",
"String","0x2D1E4","0x2D1E8","default","リッチー","LICH","Lich","0x2D1E5",
"String","0x2D1E9","0x2D1EC","default","ロック","ROC","Roc","0x2D1EA",
"String","0x2D1ED","0x2D1F3","default","ガーディアン","GUARDIAN","Guardian","0x2D1EE",
"String","0x2D1F4","0x2D1FA","default","だいちのせい","SPIRIT OF EARTH","Spirit of Earth","0x2D1F5",
"String","0x2D1FB","0x2D200","default","みずのせい","SPIRIT OF WATER","Spirit of Water","0x2D1FC",
"String","0x2D201","0x2D207","default","ほのおのせい","SPIRIT OF FLAME","Spirit of Flame","0x2D202",
"String","0x2D208","0x2D20D","default","かぜのせい","SPIRIT OF WIND","Spirit of Wind","0x2D209",
,,,,"//=================================================",,,,
,,,,"// NEW: plural unit names for advisor messages",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x2D0B8","0x2D0BC","default","ちゅうりつ","NEUTRALS","Neutral","0x2D0B9",
"String","0x2D0BE","0x2D0C0","default","ジーク","SIEG","Sieg","0x2D0BF",
"String","0x2D0C2","0x2D0C6","default","バストラル","VASTRAL","Vastral","0x2D0C3",
"String","0x2D0C8","0x2D0CC","default","シェルファ","SHELPHA","Shelpha","0x2D0C9",
"String","0x2D0CE","0x2D0D2","default","エル=モア","ELL MOIR","Ell Moir","0x2D0CF",
"String","0x2D0D4","0x2D0D7","default","ガイラム","GAILUM","Gailum","0x2D0D5",
"String","0x2D0D9","0x2D0DE","default","ベルフレイム","VELFRAIM","Velfraim","0x2D0DA",
"String","0x2D0E0","0x2D0E3","default","クリムト","KLIMT","Klimt","0x2D0E1",
"String","0x2D0E5","0x2D0E8","default","バルマー","BALMER","Balmer","0x2D0E6",
"String","0x2D0EA","0x2D0EF","default","エル=ウィン","ELL WYNN","Ell Wyn","0x2D0EB",
"String","0x2D0F1","0x2D0F3","default","せんし","WARRIORS","Warrior","0x2D0F2",
"String","0x2D0F5","0x2D0F6","default","きし","KNIGHTS","Knight","0x2D0F6",
"String","0x2D0F8","0x2D0FB","default","くろきし","BLACK KNIGHTS","Black Knight","0x2D0F9",
"String","0x2D0FD","0x2D101","default","せいせんし","HOLY WARRIORS","Holy Warrior","0x2D0FE",
"String","0x2D103","0x2D108","default","バーバリアン","BARBARIANS","Barbarian","0x2D104",
"String","0x2D10A","0x2D10F","default","バーサーカー","BERSERKERS","Berserker","0x2D10B",
"String","0x2D111","0x2D116","default","まほうつかい","MAGICIANS","Magician","0x2D112",
"String","0x2D118","0x2D11B","default","まどうし","SORCERERS","Sorcerer","0x2D119",
"String","0x2D11D","0x2D121","default","まじゅつし","WIZARDS","Wizard","0x2D11E",
"String","0x2D123","0x2D125","default","エルフ","ELVES","Elf","0x2D124",
"String","0x2D127","0x2D12C","default","エルフロード","ELF LORDS","Elf Lord","0x2D128",
"String","0x2D12E","0x2D131","default","ゴブリン","GOBLINS","Goblin","0x2D12F",
"String","0x2D133","0x2D138","default","ミノタウルス","MINOTAURS","Minotaur","0x2D134",
"String","0x2D13A","0x2D13F","default","ジャイアント","GIANTS","Giant","0x2D13B",
"String","0x2D141","0x2D146","default","リザードマン","LIZARDMEN","Lizardman","0x2D142",
"String","0x2D148","0x2D14C","default","バシリスク","BASILISKS","Basilisk","0x2D149",
"String","0x2D14E","0x2D151","default","ドラゴン","DRAGONS","Dragon","0x2D14F",
"String","0x2D153","0x2D156","default","こあくま","IMPS","Imp","0x2D154",
"String","0x2D158","0x2D15C","default","おおあくま","ARCHDEMONS","Archdemon","0x2D159",
"String","0x2D15E","0x2D163","default","デビルロード","DEVIL LORDS","Devil Lord","0x2D15F",
"String","0x2D165","0x2D16A","default","ケンタウルス","CENTAURS","Centaur","0x2D166",
"String","0x2D16C","0x2D170","default","ユニコーン","UNICORNS","Unicorn","0x2D16D",
"String","0x2D172","0x2D177","default","マンティコア","MANTICORES","Manticore","0x2D173",
"String","0x2D179","0x2D17D","default","サーペント","SERPENTS","Serpent","0x2D17A",
"String","0x2D17F","0x2D184","default","スフインクス","SPHINXES","Sphinx","0x2D180",
"String","0x2D186","0x2D18B","default","フェニックス","PHOENIXES","Phoenix","0x2D187",
"String","0x2D18D","0x2D191","default","ガーゴイル","GARGOYLES","Gargoyle","0x2D18E",
"String","0x2D193","0x2D196","default","ゴーレム","GOLEMS","Golem","0x2D194",
"String","0x2D198","0x2D19A","default","タロス","TALOS","Talos","0x2D199",
"String","0x2D19C","0x2D19E","default","オーガ","OGRES","Ogre","0x2D19D",
"String","0x2D1A0","0x2D1A3","default","トロウル","TROLLS","Troll","0x2D1A1",
"String","0x2D1A5","0x2D1A9","default","ワイバーン","WYVERNS","Wyvern","0x2D1A6",
"String","0x2D1AB","0x2D1AE","default","ヒュドラ","HYDRAS","Hydra","0x2D1AC",
"String","0x2D1B0","0x2D1B4","default","グリフォン","GRIFFONS","Griffon","0x2D1B1",
"String","0x2D1B6","0x2D1BB","default","サイクロプス","CYCLOPS","Cyclops","0x2D1B7",
"String","0x2D1BD","0x2D1C2","default","ヘルハウンド","HELL HOUNDS","Hell Hound","0x2D1BE",
"String","0x2D1C4","0x2D1C9","default","サラマンダー","SALAMANDERS","Salamander","0x2D1C5",
"String","0x2D1CB","0x2D1CE","default","キマイラ","CHIMERAS","Chimera","0x2D1CC",
"String","0x2D1D0","0x2D1D4","default","スケルトン","SKELETONS","Skeleton","0x2D1D1",
"String","0x2D1D6","0x2D1D9","default","ゾンビー","ZOMBIES","Zombie","0x2D1D7",
"String","0x2D1DB","0x2D1DD","default","マミー","MUMMIES","Mummy","0x2D1DC",
"String","0x2D1DF","0x2D1E3","default","バンパイア","VAMPIRES","Vampire","0x2D1E0",
"String","0x2D1E5","0x2D1E8","default","リッチー","LICHES","Lich","0x2D1E6",
"String","0x2D1EA","0x2D1EC","default","ロック","ROCS","Roc","0x2D1EB",
"String","0x2D1EE","0x2D1F3","default","ガーディアン","GUARDIANS","Guardian","0x2D1EF",
"String","0x2D1F5","0x2D1FA","default","だいちのせい","SPIRITS OF EARTH","Spirit of Earth","0x2D1F6",
"String","0x2D1FC","0x2D200","default","みずのせい","SPIRITS OF WATER","Spirit of Water","0x2D1FD",
"String","0x2D202","0x2D207","default","ほのおのせい","SPIRITS OF FLAME","Spirit of Flame","0x2D203",
"String","0x2D209","0x2D20D","default","かぜのせい","SPIRITS OF WIND","Spirit of Wind","0x2D20A",
,,,,"//=================================================",,,,
,,,,"// short location names",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x2CDB3","0x2CDB9","default","ローランド","ROWLAND","Rowland","ROWLAND",
"String","0x2CDC2","0x2CDC9","default","ナースホルン","NASHORN","Nashorn","NASHORN",
"String","0x2CDD2","0x2CDD7","default","バッハム","BACHEM","Bachem","BACHEM",
"String","0x2CDE0","0x2CDE5","default","レプラス","LEPLACE","Leplace","LEPLACE",
"String","0x2CDF0","0x2CDF6","default","ムルバース","MULBERTH","Mulberth","MULBERTH",
"String","0x2CE00","0x2CE06","default","グライナス","GRYNUS","Grynus","GRYNUS",
"String","0x2CE10","0x2CE17","default","カルミスタN","N. CALMISTA","N. Calmista","N. CALMISTA",
"String","0x2CE23","0x2CE29","default","テスカイア","TESGAIA","Tesgaia","TESGAIA",
"String","0x2CE34","0x2CE3B","default","イジフミガト","EGYPHMIGAT","Egyphmigat","EGYPHMIGAT",
"String","0x2CE43","0x2CE47","default","ガザN","S. GAZA","S. Gaza","S. GAZA",
"String","0x2CE52","0x2CE58","default","ドラグーン","DRAGOON","Dragoon","DRAGOON",
"String","0x2CE61","0x2CE68","default","パランニール","PARANNEAL","Paranneal","PARANNEAL",
"String","0x2CE70","0x2CE76","default","ザクハルト","ZAKHART","Zakhart","ZAKHART",
"String","0x2CE84","0x2CE8B","default","カルミスタS","S. CALMISTA","S. Calmista","S. CALMISTA",
"String","0x2CE96","0x2CE9A","default","ガザS","S. GAZA","S. Gaza","S. GAZA",
"String","0x2CEA4","0x2CEAB","default","ウンバールN","N. UMBAR","N. Umbar","N. UMBAR",
"String","0x2CEB4","0x2CEBB","default","セレブラスN","N. SELEBRATH","N. Selebrath","N. SELEBRATH",
"String","0x2CEC4","0x2CECA","default","モルガルド","MORGARD","Morgard","MORGARD",
"String","0x2CED4","0x2CEDA","default","クロエルン","KLOELN","Kloeln","KLOELN",
"String","0x2CEE5","0x2CEE9","default","ウルハ","URUHA","Uruha","URUHA",
"String","0x2CEF5","0x2CEFC","default","ウンバールS","S. UMBAR","S. Umbar","S. UMBAR",
"String","0x2CF06","0x2CF0D","default","セレブラスS","S. SELEBRATH","S. Selebrath","S. SELEBRATH",
"String","0x2CF18","0x2CF1F","default","グラファスW","W. GRAPHAS","W. Graphas","W. GRAPHAS",
"String","0x2CF2A","0x2CF31","default","グラファスE","E. GRAPHAS","E. Graphas","E. GRAPHAS",
"String","0x2CF3D","0x2CF43","default","ファミール","FAMIL","Famil","FAMIL",
"String","0x2CF4F","0x2CF54","default","カツーオ","CATUO","Catuo","CATUO",
"String","0x2CF5F","0x2CF65","default","シヤバカナ","SIAVACANA","Siavacana","SIAVACANA",
"String","0x2CF6F","0x2CF76","default","バッシュラー","BASHLER","Bashler","BASHLER",
"String","0x2CF82","0x2CF87","default","ニタラク","NITARAK","Nitarak","NITARAK",
"String","0x2CF93","0x2CF99","default","トスカニア","TOSCANIA","Toscania","TOSCANIA",
"String","0x2CFA5","0x2CFAB","default","モルソルン","MORTHORN","Morthorn","MORTHORN",
"String","0x2CFB6","0x2CFBB","default","ワーグズ","WARGS","Wargs","WARGS",
"String","0x2CFC2","0x2CFC9","default","シュミシュミ","SUMISUMI","Sumisumi","SUMISUMI",
"String","0x2CFD1","0x2CFD7","default","マステンス","MASTENTH","Mastenth","MASTENTH",
"String","0x2CFE2","0x2CFE7","default","ジャグN","N. JAGUE","N. Jague","N. JAGUE",
"String","0x2CFF1","0x2CFF6","default","ジャグS","S. JAGUE","S. Jague","S. JAGUE",
"String","0x2CFFF","0x2D005","default","ギルフレイ","GUILFLAY","Guilflay","GUILFLAY",
"String","0x2D011","0x2D017","default","シュワルベ","SCHWALBE","Schwalbe","SCHWALBE",
"String","0x2D022","0x2D029","default","ビスティッツ","VISTITZ","Vistitz","VISTITZ",
"String","0x2D031","0x2D037","default","ロンバニオ","LOMBANIO","Lombanio","LOMBANIO",
,,,,"//=================================================",,,,
,,,,"// raw stuff",,,,
,,,,"//=================================================",,,,
"String","0x11662","-0x1","binary out/territory_menu_header.bin","        りょうち  LP  SP E H","        TERR  LP  SP E H",,,
,,,,,,,,
,,,,"//=================================================",,,,
,,,,"// Advisor message intros?",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x37D0","0x37DA","default","レイモンドはいう。","RAYMOND SAYS,","Raymond says,",,"Raymond says,"
"String","0x37DA","0x37E3","default","ディーンはいう。","DEAN SAYS,","Dean says,",,"Dean says,"
"String","0x37E3","0x37E9","default","ぜんぶたい","ALL THE SQUADRONS","All Squadrons",,"All Squadrons"
