cmd,addr,end,rendercmd,jp,en
String,0x3E727,0x3E735,default,"そうこうげきをかいしした。",
String,0x3E735,0x3E752,default," これにつづいて、バストラルのぐんぜいも、うごきだした。",
String,0x3E752,0x3E76B,default," いかりが、にくしみが、きょうきがぞうふくした。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E76D,0x3E78E,default," ジークはこれをみて、レイモンドのさいごのことばをおもいだした。",
String,0x3E78E,0x3E7B3,default," ・・・・バハムートをふっかつさせてはならん。おおいなるじゃきは、やつの",
String,0x3E7B3,0x3E7C2,default,"ハラをみたしてしまう・・・・",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E7C3,0x3E7D5,default,"「いかん、あらそってはいかん!!」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E7D7,0x3E7E4,default,"「とき、すでにみちたり」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E7E6,0x3E80B,default," いちめん、ひかりかがやき、ここにたいようがおちてきたような、しょうげき",
String,0x3E80B,0x3E830,default,"がひびいた。せんこうがもどると、おおぜいのぐんたいはしょうめつし、このへ",
String,0x3E830,0x3E847,default,"いげんにはすでに3にんのすがたしかなかった。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E849,0x3E86C,default,"「おれさまのぐんたいはどこにいったんだ? ディーンよ、なにをした!」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E86E,0x3E877,default,"「・・・・・・」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E878,0x3E887,default,"「ディーンよ、こたえろ!!」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E888,0x3E8A6,default,"「にいさん。いや、バストラルよ。おまえのやくめはおわった」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E8A7,0x3E8C3,default," そして、ディーンはふたたび、まほうをとなえはじめた。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E8C4,0x3E8E8,default,"「ディーン、わがおとうとよ。こんどはおれをころすのか? あにのおれを」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E8E9,0x3E90A,default,"「いや、わたしがころさなくても、まもなく、おまえはしぬであろう」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E90B,0x3E920,default,"「しぬまえにおしえてやろう、バストラル。",
String,0x3E920,0x3E945,default," ほんとうのバカなおとうとは、とっくのむかしにしんだよ。そう、このわたし",
String,0x3E945,0x3E950,default,"がころしたんだがな」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E951,0x3E975,default," バストラルはいままでのきょうふをふりはらい、ディーンにとっしんした。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E976,0x3E983,default,"「おとうとのかたき!!」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E985,0x3E98F,default,"「うおぉぉぉー!」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E993,0x3E9AB,default," バストラルのすがたが、とつぜん、きえうせた。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E9AC,0x3E9C5,default,"「ようやく、バハムートがめざめはじめたか・・・」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E9C7,0x3E9E4,default," このじょうきょうをジークはただ、みまもるしかなかった。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E9E6,0x3EA0B,default,"「バーサーカーとは、よくいったものだ。バストラルもしょせんは、きのあらい",
String,0x3EA0B,0x3EA20,default,"ただのにんげんにすぎん。なぁ、ジークよ」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3EA22,0x3EA47,default," ジークはこんわくした。じぶんのたちばをみうしなっていた。じぶんのいまま",
String,0x3EA47,0x3EA66,default,"でのたたかいとはなんなのか? ふあんだけがたかまっていった。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3EA68,0x3EA8D,default,"「いま、おまえはじぶんのそんざいについて、じもんしていることだろう。ジー",
String,0x3EA8D,0x3EAA2,default,"クよ、レイモンドがほれこんだにんげんよ」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3EAA4,0x3EAC9,default,"「バハムートのめざめが、そんなにうれしいか? レイモンドさえ、けいこくし",
String,0x3EAC9,0x3EACF,default,"たことを。",
String,0x3EACF,0x3EAED,default," きさまはいったい、なにものだ! バハムートのめざめとは?",
String,0x3EAED,0x3EAFB,default," こたえろ、ディーン!!」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3EAFC,0x3EB21,default," ジークはディーンにどなりつけ、レイモンドよりあずかったけん'ベサルスネ",
String,0x3EB21,0x3EB32,default,"ーガ'を、かれにむけてかまえた。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3EB34,0x3EB59,default,"「レイモンドがほれこんだわりには、かんじょうてきだな。ジークよ、わたしは",
String,0x3EB59,0x3EB7E,default,"おまえらとちがい、にんげんでも、あくまでもない。かみだ。ほんとうはディー",
String,0x3EB7E,0x3EBA3,default,"ンというなまえではなく、ちゃんとしたなまえがある。もっとも、おまえになの",
String,0x3EBA3,0x3EBAD,default,"るほどでもないが」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3EBAE,0x3EBD3,default," かみ。このせかいには、かみがあらわれるとき、このよがおわるというでんせ",
String,0x3EBD3,0x3EBF3,default,"つがある。しかも、かみには、いかなるこうげきもきかないことも。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3EBF4,0x3EC19,default,"「かつて、さいこうのかみは、せかいのおわりに、きよきこころのにんげんたち",
String,0x3EC19,0x3EC3E,default,"のたべものをかくほするため、バハムートをそうぞうした。ただ、このいきもの",
String,0x3EC3E,0x3EC63,default,"は、あまりにもおおきすぎ、われらのせかいにおいておくことができない。そこ",
String,0x3EC63,0x3EC88,default,"で、われらのせかいのおわりのひまで、このせかいにねむらせておくひつようが",
String,0x3EC88,0x3EC8D,default,"あった」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3EC8E,0x3ECB3,default,"「しかし、ねむっているとはいえ、やつはたくさんのものをたべる。うえすぎる",
String,0x3ECB3,0x3ECD8,default,"と、しんでしまう。また、あたえすぎると、あばれだし、かみがみでさえ、てを",
String,0x3ECD8,0x3ECFD,default,"やくしまつだ。そこで、かみはやつのせなかに、ありとあらゆるいきものをそう",
String,0x3ECFD,0x3ED10,default,"ぞうした。にんげんを、モンスターを」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3ED11,0x3ED37,default,"「やつのたべものはオーラだ。しかも、いきおいのあるオーラをこのむ。だから、",
String,0x3ED37,0x3ED5C,default,"せんそうなどはやつのハラをみたす、かっこうのばしょとなる。しかし、せんそ",
String,0x3ED5C,0x3ED81,default,"うばかりさせてしまうと、やつがつよくなってしまう。あんのじょう、やつはじ",
String,0x3ED81,0x3EDA6,default,"ぶんのちからで、あくまをつくりだし、せんそうをけしかけようとした。クリム",
String,0x3EDA6,0x3EDAF,default,"トがいいれいだ」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3EDB0,0x3EDD5,default,"「そこで、われわれはここにレイモンドをはけんし、やつをわれらのせかいのさ",
String,0x3EDD5,0x3EDFA,default,"いごのひまで、おとなしくさせることにした。やがて、せかいのおわりがちかづ",
String,0x3EDFA,0x3EE1F,default,"きつつあるころ、わたしはおうごんのドラゴンにまたがり、バハムートをわれら",
String,0x3EE1F,0x3EE3A,default,"のせかいへみちびくよう、レイモンドにしらせにいった」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3EE3B,0x3EE60,default,"「ところがだ、おどろいたことにレイモンドは、ここでやつをうえさせようとし",
String,0x3EE60,0x3EE85,default,"ていた。へいわすぎていたのである。かれのわけをきいて、さらにおどろいた。",
String,0x3EE85,0x3EEAA,default,"かれは、ここのにんげんとしたしむうちに、ここのにんげんたちこそが、きよき",
String,0x3EEAA,0x3EECB,default,"こころをもつひとびとだといいはったのである。わたしはあきれたよ」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3EECC,0x3EEF2,default,"「かれは、わたしとたたかってまでもバハムートをひきわたさないことをいった。",
String,0x3EEF2,0x3EF17,default,"わたしのもくてきは、バハムートをうごかし、われらのせかいへみちびいて、し",
String,0x3EF17,0x3EF3C,default,"ょくりょうにすることである。しかし、いまのじょうたいでは、やつはうごける",
String,0x3EF3C,0x3EF61,default,"どころではなかった。そこでわたしは、かくちにじゃあくをふっかつさせ、せん",
String,0x3EF61,0x3EF76,default,"そうをおこし、やつをうごかすことにした」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3EF77,0x3EF9C,default,"「わたしは、やみのじだいをまきおこし、にんげんをだらくさせ、きょうふと、",
String,0x3EF9C,0x3EFC1,default,"さつりくをおこすことに、みごとにせいこうした。クリムトやベルフレイムをふ",
String,0x3EFC1,0x3EFE6,default,"っかつさせ、さらには、レイモンドのしんゆうとなったバルマーをじゃあくなア",
String,0x3EFE6,0x3F008,default,"ンデッドにもした。そして、みごとにバハムートがめざめはじめたのだ」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F00A,0x3F01B,default," 「バハムートとはもしや・・・」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F01D,0x3F042,default,"「ふっ、おまえもこのことばをしっていよう。・・えいごうのときのかなたにわ",
String,0x3F042,0x3F067,default,"れはだいちとなり、ほとばしるなみだは、おおうなばらをかたちづくる・・と。",
String,0x3F067,0x3F08C,default," そう、このたいりくこそ、バハムートじしんなのだ。おまえたちはやつのせの",
String,0x3F08C,0x3F0A7,default,"うえで、れきしをかたちづくっていたにすぎないのだよ」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F0A8,0x3F0CD,default,"「そして、バハムートがめざめたいま、おまえたちのれきしのまくは、とじよう",
String,0x3F0CD,0x3F0F2,default,"としている。バストラルのように、どんどんきえていくのだ。はっはっはっ。し",
String,0x3F0F2,0x3F111,default,"かし、レイモンドのこころをうけついだおまえをのぞいてだがな」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F113,0x3F11B,default,"「このおれが?",
String,0x3F11B,0x3F140,default," このせかいをあいし、このせかいでちったレイモンドのおかげで、おれはいき",
String,0x3F140,0x3F14D,default,"のびることができるのか」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F14F,0x3F174,default,"「そうよ、ジーク。それとも、レイモンドとでも、なのるか? かみによってえ",
String,0x3F174,0x3F199,default,"らばれ、にんげんからかみになったものよ。われとともに、わがせかいのたみを",
String,0x3F199,0x3F1A4,default,"すくおうではないか」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F1A6,0x3F1CB,default,"「ことわる! おれはここにのこり、バハムートをふたたび、ねむらせる。それ",
String,0x3F1CB,0x3F1E4,default,"がレイモンドのいしであり、おれのいしでもある!」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F1E5,0x3F20A,default," ジークはきっぱりいい、めには、かみにたいするいかりがこめられ、ベサルス",
String,0x3F20A,0x3F220,default,"ネーガをディーンにむけて、かまえなおした。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F222,0x3F247,default,"「なるほど、ベサルスネーガをもっているのか。バハムートのしんぞうをうちく",
String,0x3F247,0x3F26C,default,"だく、かみすらもきりさく、おそるべきかみがみのけん。ふつうのにんげんがも",
String,0x3F26C,0x3F290,default,"てば、そのオーラをすいとるが、かみになったおまえには、かんけいないか。",
String,0x3F290,0x3F2B1,default," しかし、このわたしをたおせるかな? おまえにはしんでもらう!」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F2B5,0x3F2DA,default,"「かみがみのぶきをもったものに、かみのわざはつうようしない。さっきのひか",
String,0x3F2DA,0x3F300,default,"りのわざで、おまえとバストラルがいきのこったのはそのためだ。めんどうだが、",
String,0x3F300,0x3F319,default,"ちょくせつ、わたしがおまえのくびをはねてやろう」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F31B,0x3F340,default," フルそうびのディーンのまえに、ジークはくせんをしいられた。ジークはおい",
String,0x3F340,0x3F358,default,"つめられ、ディーンはしょうりのえみをうかべた。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F35A,0x3F37A,default,"「ふん、もとはにんげん。きっすいのかみにかとうなど、あまいな」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F37B,0x3F3A0,default," が、このとき、ディーンのはいごより、バストラルのバトルアックスをふりお",
String,0x3F3A0,0x3F3AF,default,"ろすひとりのじんぶつがいた。",
String,0x3F3AF,0x3F3C6,default," ジークはもとより、ディーンすらおどろいた。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F3C7,0x3F3EA,default,"「きさま、なぜ、いきている。しんだはずではなかったのか? バルマー」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F3EC,0x3F411,default,"「レイモンドどのは、このひをよけんしておられた。そう、あの2000ねんま",
String,0x3F411,0x3F436,default,"えのクリムトそうとうせんのときに。クリムトをほうむったわたしは、レイモン",
String,0x3F436,0x3F45B,default,"ドどのに、すべてをうちあけられ、わがたましいをじゃあくからまもるため、そ",
String,0x3F45B,0x3F480,default,"のけんにたくし、わたしをクリムトとあいうちになったことにみせかけてくれた",
String,0x3F480,0x3F484,default,"のだ」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F485,0x3F4AA,default,"「アンデッドにされたあと、レイモンドどのは、けんより、わがたましいをかい",
String,0x3F4AA,0x3F4CF,default,"ほうし、こともあろうに、わたしをそせいさせるため、じぶんのちからのはんぶ",
String,0x3F4CF,0x3F4F4,default,"んをつかいきった。そして、かんぜんにかいふくするまで、せいれいのきょうり",
String,0x3F4F4,0x3F50C,default,"ょくをえて、だいちのおくで、ねむっていたのだ」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F50D,0x3F532,default,"「レイモンドどのは、さいごにジークというわかものをたすけてくれ、かれはお",
String,0x3F532,0x3F557,default,"まえのしそんだとおしえてくれた。せいれいのしらせで、かれがクリムトにたお",
String,0x3F557,0x3F57C,default,"されたのをきいて、なみだがとまらなかった。わたしのせいで、ちからをはんぶ",
String,0x3F57C,0x3F5A1,default,"んにしていなければ、らくにたおせたものを・・・ わたしのせいでしんだレイ",
String,0x3F5A1,0x3F5B7,default,"モンドどののためにも、おまえをたおす!!」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F5B8,0x3F5D8,default,"「しょうしな。そんなおもちゃでわたしをたおせるとおおもいか?」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F5D9,0x3F5EF,default,"「そんなことは、ひゃくもしょうちのうえだ」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F5F0,0x3F615,default," バルマーはディーンにむかってとっしんし、つかみかかった。ディーンはすば",
String,0x3F615,0x3F63A,default,"やくけんをかまえ、かれのむねをふかくつらぬいた。しかし、つかんだバルマー",
String,0x3F63A,0x3F649,default,"はディーンをはなさなかった。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F64A,0x3F66F,default,"「ジーク、いまだ。はやくディーンをたたききれ! わがいのちがつきるまえに",
String,0x3F66F,0x3F674,default,"・・・」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F675,0x3F68A,default,"「はなせ! このやろう、はなさんか!!」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F68D,0x3F6B2,default," ジークはいきおいよくディーンにとっしんし、しんぞうをつらぬいた。ディー",
String,0x3F6B2,0x3F6D0,default,"ンはせんけつをはくと、だんまつまをあげ、そのばでくずれた。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F6D2,0x3F6F7,default," すべてがおわった。ディーンはきえさり、あとには、しにかけたバルマーだけ",
String,0x3F6F7,0x3F718,default,"がのこった。ジークはかいふくのまほうをとなえたが、きかなかった。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F71A,0x3F73F,default,"「よくやってくれた。ほこりたかい、わがしそんよ。あとのことはたのんだぞ・",
String,0x3F73F,0x3F743,default,"・・」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F744,0x3F769,default,"「わがせんぞよ。わたしはあなたのような、すばらしいえいゆうのちをうけつい",
String,0x3F769,0x3F77B,default,"でいることを、ほこりにおもいます」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F77D,0x3F7A3,default," バルマーはもういちど、まんぞくそうなえみをうかべると、しずかにめをとじ、",
String,0x3F7A3,0x3F7C8,default,"きえていった。ジークのめからは、あついなみだが、とまることはなかった。ゆ",
String,0x3F7C8,0x3F7E8,default,"っくりとたちあがったジークはそらをみあげると、あるきはじめた。",
String,0x3F7E8,0x3F7FA,default," すべてにしゅうしふをうつために。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F7FE,0x3F823,default," ジークはバハムートのしんぞうのあるしんでんにたどりついた。めのまえに、",
String,0x3F823,0x3F848,default,"せいかくなこどうをつづけるしんぞうが、あざやかにみえた。ジークはけんをか",
String,0x3F848,0x3F86D,default,"まえ、これをつらぬくべく、つきすすんだ。ジークののうりには、いままでいき",
String,0x3F86D,0x3F887,default,"てきたきおくが、そうまとうのようにながれていった。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F889,0x3F8A2,default," おさないころ、ちちバーフにだきあげられたころを",
String,0x3F8A2,0x3F8C5,default," レイモンドにせいせんしになるため、きたえあげれたしょうねんじだいを",
String,0x3F8C5,0x3F8E4,default," クロエルンのじょうかまちで、ミーサにはじめてしりあったひを",
String,0x3F8E4,0x3F906,default," やみのじだいに、せいきしだんをひきい、じゃあくとたたかったひびを",
String,0x3F906,0x3F92B,default," そして、あいするもの、しんらいするものをうしなっていくかなしみを・・・",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F92E,0x3F953,default," しかし、かれのまえにいっぴきのおうごんのドラゴンがたちはだかってきたの",
String,0x3F953,0x3F958,default,"である。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3F95A,0x3F96B,default," おうごんのドラゴンはかたった。",
String,0x3F96B,0x3F990,default,"「わたしはディーンとともにこのちにきた。が、わたしのもくてきはちがう。わ",
String,0x3F990,0x3F9B5,default,"たしは、さいこうのかみのみつめいをうけてきた。おまえにすべてをはなそう・",
String,0x3F9B5,0x3F9B9,default,"・・」",
